tijd,meetwaarde
0.026,0
0.043,0
0.054,0
0.073,0
0.088,0
0.105,0
0.12,0
0.135,0
0.153,0
0.166,0
0.186,0
0.201,0
0.218,0
0.229,0
0.25,0
0.264,0
0.28,0
0.297,0
0.314,0
0.331,0
0.344,0
0.36,0
0.377,0
0.391,0
0.409,0
0.424,0
0.438,0
0.459,0
0.471,0
0.489,0
0.504,0
0.518,0
0.539,0
0.55,0
0.567,0
0.585,0
0.603,0
0.617,0
0.637,0
0.664,0
0.683,0
0.695,0
0.711,0
0.725,0
0.743,0
0.76,0
0.774,0
0.792,0
0.804,0
0.822,0
0.837,0
0.853,0
0.868,0
0.884,0
0.9,0
0.919,0
0.934,0
0.949,0
0.964,0
0.983,0
0.998,0
1.018,0
1.028,0
1.045,0
1.063,0
1.078,0
1.094,0
1.113,0
1.127,0
1.141,0
1.16,0
1.174,0
1.192,0
1.21,0
1.263,0
1.31,0
1.373,0
1.437,0
1.5,0
1.563,0
1.627,0
1.659,0
1.722,0
1.786,0
1.849,0
1.88,0
1.928,0
1.976,0
2.008,0
2.071,0
2.102,0
2.118,0
2.15,0
2.197,0
2.245,0
2.276,0
2.324,0
2.372,0
2.42,0
2.467,0
2.514,0
2.561,0
2.608,0
2.656,0
2.703,0
2.751,0
2.799,0
2.831,0
2.879,0
2.926,0
2.973,0
3.037,0
3.1,0
3.162,0
3.209,0
3.272,0
3.335,0
3.381,0
3.429,0
3.46,0
3.492,0
3.54,0
3.587,0
3.619,0
3.651,0
3.699,0
3.73,0
3.778,0
3.81,0
3.842,0
3.891,0
3.922,0
3.969,0
4.017,0
4.065,0
4.112,0
4.16,0
4.192,0
4.239,0
4.287,0
4.319,0
4.366,0
4.413,0
4.444,0
4.491,0
4.539,0
4.571,0
4.618,0
4.666,0
4.697,0
4.745,0
4.792,0
4.839,0
4.902,0
4.948,0
4.995,0
5.058,0
5.122,0
5.186,0
5.25,0
5.312,0
5.36,0
5.408,0
5.44,0
5.471,0
5.503,0
5.535,0
5.583,0
5.631,0
5.662,0
5.693,0
5.725,0
5.773,0
5.82,0
5.868,0
5.899,0
5.931,0
5.979,0
6.011,0
6.059,0
6.091,0
6.123,0
6.154,0
6.186,0
6.218,0
6.264,0
6.296,0
6.344,0
6.392,0
6.423,0
6.47,0
6.517,0
6.579,0
6.627,0
6.691,0
6.739,0
6.803,0
6.867,0
6.915,0
6.977,0
7.041,0
7.105,0
7.152,0
7.199,0
7.247,0
7.295,0
7.342,0
7.406,0
7.47,0
7.534,0
7.598,0
7.662,0
7.709,0
7.772,0
7.836,0
7.899,0
7.947,0
7.995,0
8.027,0
8.074,0
8.121,0
8.169,0
8.2,0
8.245,0
8.276,0
8.323,0
8.37,0
8.418,0
8.449,0
8.512,0
8.575,0
8.622,0
8.686,0
8.734,0
8.798,0
8.862,0
8.91,0
8.958,0
9.02,0
9.068,0
9.132,0
9.196,0
9.244,0
9.308,0
9.353,0
9.416,0
9.464,0
9.528,0
9.56,0
9.592,0
9.624,0
9.656,0
9.704,0
9.735,0
9.767,0
9.798,0
9.846,0
9.894,0
9.926,0
9.974,0
10.006,0
10.054,0
10.102,0
10.133,0
10.18,0
10.228,0
10.275,0
10.306,0
10.353,0
10.401,0
10.432,0
10.479,0
10.527,0
10.575,0
10.62,0
10.683,0
10.731,0
10.795,0
10.859,0
10.923,0
10.971,0
11.033,0
11.08,0
11.144,0
11.192,0
11.256,0
11.32,0
11.383,0
11.431,0
11.478,0
11.541,0
11.605,0
11.668,0
11.7,0
11.748,0
11.779,0
11.811,0
11.858,0
11.906,0
11.938,0
11.985,0
12.017,0
12.049,0
12.097,0
12.144,0
12.176,0
12.192,0
12.223,0
12.27,0
12.317,0
12.365,0
12.397,0
12.428,0
12.476,0
12.521,0
12.553,0
12.616,0
12.664,0
12.712,0
12.76,0
12.807,0
12.855,0
12.917,0
12.98,0
13.044,0
13.107,0
13.155,0
13.202,0
13.25,0
13.297,0
13.361,0
13.409,0
13.457,0
13.521,0
13.569,0
13.631,0
13.677,0
13.724,0
13.772,0
13.788,0
13.835,0
13.883,0
13.915,0
13.963,0
14.011,0
14.042,0
14.09,0
14.137,0
14.185,0
14.217,0
14.265,0
14.313,0
14.361,0
14.407,0
14.455,0
14.502,0
14.55,0
14.598,0
14.646,0
14.692,0
14.74,0
14.802,0
14.865,0
14.912,0
14.976,0
15.024,0
15.072,0
15.119,0
15.182,0
15.246,0
15.294,0
15.358,0
15.42,0
15.467,0
15.499,0
15.546,0
15.578,0
15.609,0
15.641,0
15.673,0
15.719,0
15.767,0
15.814,0
15.861,0
15.892,0
15.94,0
15.988,0
16.02,0
16.051,0
16.082,0
16.114,0
16.146,0
16.194,0
16.226,0
16.273,0
16.305,0
16.353,0
16.401,0
16.433,0
16.496,0
16.544,0
16.608,0
16.671,0
16.718,0
16.766,0
16.829,0
16.892,0
16.956,0
17.003,0
17.051,0
17.114,0
17.161,0
17.208,0
17.24,0
17.256,0
17.32,0
17.367,0
17.413,0
17.459,0
17.507,0
17.554,0
17.586,0
17.634,0
17.682,0
17.729,0
17.761,0
17.809,0
17.856,0
17.887,0
17.918,0
17.981,0
18.029,0
18.092,0
18.14,0
18.202,0
18.264,0
18.312,0
18.36,0
18.424,0
18.487,0
18.535,0
18.596,0
18.644,0
18.691,0
18.737,0
18.768,0
18.815,0
18.861,0
18.909,0
18.941,0
18.988,0
19.036,0
19.068,0
19.115,0
19.162,0
19.226,0
19.274,0
19.338,0
19.4,0
19.464,0
19.511,0
19.575,0
19.638,0
19.701,0
19.764,0
19.827,0
19.891,0
19.954,0
20.018,0
20.08,0
20.128,0
20.16,0
20.192,0
20.224,0
20.256,0
20.304,0
20.351,0
20.383,0
20.431,0
20.479,0
20.509,0
20.541,0
20.589,0
20.637,0
20.668,0
20.7,0
20.747,0
20.779,0
20.827,0
20.859,0
20.907,0
20.938,0
20.986,0
21.018,0
21.049,0
21.096,0
21.128,0
21.176,0
21.224,0
21.256,0
21.304,0
21.336,0
21.384,0
21.415,0
21.463,0
21.495,0
21.527,0
21.575,0
21.607,0
21.655,0
21.701,0
21.765,0
21.828,0
21.892,0
21.939,0
21.987,0
22.051,0
22.098,0
22.161,0
22.224,0
22.272,0
22.335,0
22.383,0
22.447,0
22.51,0
22.572,0
22.635,0
22.683,0
22.731,0
22.779,0
22.827,0
22.875,0
22.922,0
22.97,0
23.002,0
23.034,0
23.066,0
23.113,0
23.161,0
23.209,0
23.241,0
23.288,0
23.336,0
23.383,0
23.415,0
23.463,0
23.51,0
23.557,0
23.589,0
23.637,0
23.684,0
23.732,0
23.764,0
23.812,0
23.86,0
23.892,0
23.924,0
23.971,0
24.018,0
24.065,0
24.112,0
24.16,0
24.224,0
24.288,0
24.35,0
24.398,0
24.445,0
24.508,0
24.572,0
24.619,0
24.667,0
24.715,0
24.747,0
24.81,0
24.874,0
24.938,0
24.986,0
25.05,0
25.113,0
25.177,0
25.239,0
25.287,0
25.334,0
25.38,0
25.428,0
25.459,0
25.507,0
25.553,0
25.585,0
25.633,0
25.68,0
25.728,0
25.76,0
25.792,0
25.84,0
25.871,0
25.918,0
25.949,0
25.98,0
26.043,0
26.107,0
26.169,0
26.232,0
26.28,0
26.311,0
26.375,0
26.438,0
26.501,0
26.549,0
26.612,0
26.66,0
26.692,0
26.756,0
26.804,0
26.852,0
26.882,0
26.929,0
26.977,0
27.025,0
27.073,0
27.12,0
27.151,0
27.199,0
27.247,0
27.279,0
27.326,0
27.357,0
27.389,0
27.436,0
27.467,0
27.515,0
27.563,0
27.595,0
27.627,0
27.675,0
27.705,0
27.753,0
27.801,0
27.849,0
27.865,0
27.913,0
27.945,0
27.993,0
28.025,0
28.072,0
28.12,0
28.167,0
28.214,0
28.278,0
28.342,0
28.39,0
28.453,0
28.516,0
28.564,0
28.612,0
28.675,0
28.737,0
28.8,0
28.832,0
28.895,0
28.943,0
28.991,0
29.039,0
29.087,0
29.135,0
29.182,0
29.229,0
29.276,0
29.323,0
29.371,0
29.419,0
29.451,0
29.499,0
29.547,0
29.594,0
29.642,0
29.673,0
29.721,0
29.752,0
29.799,0
29.831,0
29.879,0
29.911,0
29.958,0
30.005,0
30.053,0
30.101,0
30.149,0
30.181,0
30.229,0
30.26,0
30.308,0
30.356,0
30.402,0
30.465,0
30.527,0
30.59,0
30.654,0
30.718,0
30.782,0
30.83,0
30.877,0
30.94,0
30.988,0
31.036,0
31.099,0
31.147,0
31.208,0
31.24,0
31.288,0
31.32,0
31.368,0
31.415,0
31.447,0
31.495,0
31.526,0
31.573,0
31.619,0
31.665,0
31.696,0
31.728,0
31.759,0
31.823,0
31.886,0
31.934,0
31.982,0
32.029,0
32.093,0
32.157,0
32.22,0
32.283,0
32.33,0
32.378,0
32.424,0
32.487,0
32.535,0
32.599,0
32.647,0
32.695,0
32.742,0
32.773,0
32.82,0
32.852,0
32.884,0
32.916,0
32.964,0
32.996,0
33.012,0
33.059,0
33.107,0
33.155,0
33.202,0
33.25,0
33.282,0
33.33,0
33.377,0
33.409,0
33.456,0
33.488,0
33.536,0
33.581,0
33.613,0
33.66,0
33.708,0
33.756,0
33.804,0
33.852,0
33.914,0
33.945,0
34.008,0
34.072,0
34.134,0
34.182,0
34.245,0
34.292,0
34.339,0
34.403,0
34.451,0
34.48,0
34.511,0
34.543,0
34.591,0
34.639,0
34.687,0
34.735,0
34.782,0
34.83,0
34.861,0
34.893,0
34.94,0
34.988,0
35.02,0
35.068,0
35.116,0
35.148,0
35.195,0
35.241,0
35.273,0
35.305,0
35.368,0
35.431,0
35.478,0
35.541,0
35.589,0
35.651,0
35.699,0
35.745,0
35.793,0
35.857,0
35.921,0
35.969,0
36.017,0
36.064,0
36.112,0
36.175,0
36.223,0
36.255,0
36.303,0
36.335,0
36.383,0
36.429,0
36.477,0
36.508,0
36.556,0
36.588,0
36.62,0
36.652,0
36.7,0
36.748,0
36.796,0
36.843,0
36.891,0
36.939,0
36.987,0
37.035,0
37.067,0
37.115,0
37.163,0
37.195,0
37.242,0
37.29,0
37.338,0
37.368,0
37.416,0
37.463,0
37.51,0
37.557,0
37.605,0
37.652,0
37.714,0
37.775,0
37.838,0
37.902,0
37.966,0
38.014,0
38.078,0
38.141,0
38.205,0
38.253,0
38.316,0
38.38,0
38.444,0
38.508,0
38.572,0
38.636,0
38.697,0
38.729,0
38.777,0
38.824,0
38.872,0
38.904,0
38.952,0
39.0,0
39.047,0
39.095,0
39.126,0
39.158,0
39.206,0
39.253,0
39.285,0
39.333,0
39.381,0
39.429,0
39.476,0
39.507,0
39.538,0
39.586,0
39.617,0
39.665,0
39.713,0
39.744,0
39.792,0
39.839,0
39.887,0
39.919,0
39.966,0
40.014,0
40.078,0
40.125,0
40.186,0
40.249,0
40.311,0
40.358,0
40.406,0
40.454,0
40.502,0
40.533,0
40.58,0
40.612,0
40.644,0
40.691,0
40.739,0
40.787,0
40.818,0
40.85,0
40.882,0
40.928,0
40.976,0
41.024,0
41.072,0
41.104,0
41.152,0
41.199,0
41.245,0
41.277,0
41.325,0
41.373,0
41.435,0
41.498,0
41.546,0
41.593,0
41.641,0
41.689,197
41.751,7368
41.814,15635
41.862,19090
41.926,19845
41.99,19629
42.054,18678
42.118,17497
42.18,16311
42.244,13001
42.307,7336
42.355,4114
42.416,2601
42.448,1493
42.496,1108
42.528,702
42.576,511
42.623,307
42.654,163
42.685,92
42.716,50
42.747,0
42.795,0
42.843,0
42.891,0
42.923,0
42.971,0
43.002,0
43.05,0
43.098,0
43.13,0
43.178,0
43.208,0
43.255,0
43.319,0
43.366,0
43.412,0
43.475,0
43.539,0
43.587,0
43.65,0
43.713,0
43.759,0
43.807,0
43.853,0
43.901,0
43.949,0
43.965,0
44.013,0
44.061,0
44.109,0
44.156,0
44.203,0
44.235,0
44.283,0
44.314,0
44.345,0
44.377,0
44.423,0
44.455,0
44.487,0
44.518,0
44.55,0
44.597,0
44.629,0
44.677,0
44.709,0
44.771,0
44.819,0
44.867,0
44.93,0
44.994,0
45.042,0
45.073,0
45.12,0
45.168,0
45.216,0
45.278,0
45.326,0
45.389,0
45.452,0
45.515,0
45.547,0
45.578,0
45.624,0
45.656,0
45.704,0
45.752,0
45.8,0
45.832,0
45.863,0
45.911,0
45.943,0
45.99,0
46.021,0
46.053,0
46.084,0
46.115,0
46.162,0
46.21,0
46.258,0
46.306,0
46.353,0
46.414,0
46.476,0
46.524,0
46.587,0
46.651,0
46.699,0
46.762,0
46.809,0
46.856,0
46.888,0
46.92,0
46.952,0
46.984,0
47.032,0
47.048,0
47.08,0
47.112,0
47.159,0
47.207,0
47.239,0
47.285,0
47.332,0
47.364,0
47.411,0
47.459,0
47.506,0
47.553,0
47.585,0
47.617,0
47.664,0
47.695,0
47.727,0
47.79,0
47.853,0
47.914,0
47.962,0
48.01,0
48.058,0
48.12,0
48.184,0
48.248,0
48.309,0
48.34,0
48.388,0
48.436,0
48.468,0
48.498,0
48.529,0
48.561,0
48.593,0
48.639,0
48.685,0
48.733,0
48.764,0
48.812,0
48.86,0
48.891,0
48.954,0
49.017,0
49.065,0
49.128,0
49.192,0
49.255,0
49.319,0
49.382,0
49.446,0
49.493,0
49.556,0
49.619,0
49.651,0
49.699,0
49.746,0
49.793,0
49.84,0
49.871,0
49.903,0
49.95,0
49.997,0
50.029,0
50.077,0
50.125,0
50.172,0
50.203,0
50.235,0
50.251,0
50.299,0
50.347,0
50.379,0
50.427,0
50.474,0
50.521,0
50.553,0
50.583,0
50.63,0
50.693,0
50.757,0
50.805,0
50.867,0
50.931,0
50.995,0
51.059,0
51.107,0
51.155,0
51.202,0
51.266,0
51.329,0
51.377,0
51.441,0
51.489,0
51.537,0
51.601,0
51.664,0
51.711,0
51.774,0
51.822,0
51.87,0
51.916,0
51.948,0
51.996,0
52.044,0
52.075,0
52.123,0
52.17,0
52.202,0
52.25,0
52.281,0
52.329,0
52.361,0
52.393,0
52.423,0
52.471,0
52.504,0
52.55,0
52.597,0
52.629,0
52.661,0
52.709,0
52.756,0
52.803,0
52.851,0
52.899,0
52.946,0
52.993,0
53.056,0
53.12,0
53.183,0
53.247,0
53.311,0
53.375,0
53.439,0
53.487,0
53.549,0
53.596,0
53.643,0
53.706,0
53.754,0
53.786,0
53.817,0
53.863,0
53.894,0
53.924,0
53.956,0
53.988,0
54.035,0
54.083,0
54.115,0
54.163,0
54.194,0
54.225,0
54.273,0
54.32,0
54.368,0
54.416,0
54.477,0
54.523,0
54.571,0
54.633,0
54.664,0
54.71,0
54.741,0
54.757,0
54.788,0
54.836,0
54.883,0
54.93,0
54.978,0
55.025,0
55.072,0
55.104,0
55.152,0
55.2,0
55.232,0
55.28,0
55.312,0
55.344,0
55.376,0
55.408,0
55.454,0
55.5,0
55.562,0
55.626,0
55.674,0
55.737,0
55.785,0
55.848,0
55.911,0
55.974,0
56.022,0
56.07,0
56.134,0
56.181,0
56.229,0
56.277,0
56.309,0
56.357,0
56.404,0
56.436,0
56.484,0
56.532,0
56.579,0
56.627,0
56.675,0
56.707,0
56.739,0
56.755,0
56.803,0
56.851,0
56.883,0
56.915,0
56.962,0
57.01,0
57.042,0
57.09,0
57.138,0
57.169,0
57.217,0
57.249,0
57.281,0
57.328,0
57.36,0
57.408,0
57.454,0
57.501,0
57.533,0
57.581,0
57.628,0
57.66,0
57.691,0
57.737,0
57.769,0
57.817,0
57.865,0
57.913,0
57.96,0
58.008,0
58.055,0
58.103,0
58.165,0
58.228,0
58.292,0
58.34,0
58.388,0
58.435,0
58.496,0
58.561,0
58.607,0
58.655,0
58.703,0
58.734,0
58.766,0
58.814,0
58.861,0
58.893,0
58.941,0
58.973,0
59.005,0
59.052,0
59.084,0
59.116,0
59.148,0
59.179,0
59.225,0
59.273,0
59.32,0
59.352,0
59.399,0
59.446,0
59.492,0
59.555,0
59.619,0
59.682,0
59.746,0
59.793,0
59.841,0
59.905,0
59.969,0
60.032,0
60.079,0
60.142,0
60.189,0
60.253,0
60.301,0
60.349,0
60.412,0
60.46,0
60.508,0
60.538,0
60.57,0
60.617,0
60.665,0
60.713,0
60.761,0
60.793,0
60.841,0
60.888,0
60.918,0
60.966,0
60.998,0
61.046,0
61.078,0
