tijd,meetwaarde
0.049,0
0.097,0
0.129,0
0.161,0
0.208,0
0.24,0
0.287,0
0.349,0
0.396,0
0.444,0
0.507,0
0.554,0
0.616,0
0.648,0
0.696,0
0.728,0
0.759,0
0.79,0
0.822,0
0.869,0
0.915,0
0.961,0
1.009,0
1.056,0
1.088,0
1.136,0
1.183,0
1.247,0
1.31,0
1.373,0
1.437,0
1.485,0
1.533,0
1.597,0
1.645,0
1.708,0
1.756,0
1.819,0
1.883,0
1.947,0
2.011,0
2.074,0
2.136,0
2.2,0
2.248,0
2.296,0
2.344,0
2.391,0
2.423,0
2.471,0
2.518,0
2.566,0
2.598,0
2.63,0
2.662,0
2.71,0
2.742,0
2.79,0
2.837,0
2.884,0
2.931,0
2.978,0
3.01,0
3.057,0
3.088,0
3.135,0
3.183,0
3.215,0
3.231,0
3.293,0
3.325,0
3.357,0
3.421,0
3.469,0
3.533,0
3.596,0
3.659,0
3.723,0
3.77,0
3.833,0
3.897,0
3.961,0
4.024,0
4.087,0
4.133,0
4.165,0
4.196,0
4.212,0
4.243,0
4.259,0
4.275,0
4.307,0
4.338,0
4.386,0
4.418,0
4.466,0
4.514,0
4.546,0
4.593,0
4.641,0
4.689,0
4.737,0
4.769,0
4.801,0
4.849,0
4.881,0
4.929,0
4.959,0
5.007,0
5.038,0
5.07,0
5.102,0
5.133,0
5.181,0
5.213,0
5.245,0
5.293,0
5.325,0
5.341,0
5.373,0
5.42,0
5.467,0
5.531,0
5.579,0
5.627,0
5.675,0
5.723,0
5.787,0
5.834,0
5.898,0
5.962,0
6.025,0
6.073,0
6.137,0
6.184,0
6.231,0
6.295,0
6.327,0
6.375,0
6.423,0
6.471,0
6.519,0
6.566,0
6.613,0
6.661,0
6.709,0
6.757,0
6.821,0
6.884,0
6.916,0
6.964,0
7.011,0
7.043,0
7.091,0
7.139,0
7.187,0
7.234,0
7.266,0
7.298,0
7.346,0
7.378,0
7.41,0
7.458,0
7.49,0
7.537,0
7.584,0
7.616,0
7.648,0
7.68,0
7.711,0
7.758,0
7.806,0
7.853,0
7.901,0
7.933,0
7.98,0
8.028,0
8.076,0
8.107,0
8.139,0
8.186,0
8.234,0
8.281,0
8.345,0
8.392,0
8.455,0
8.503,0
8.55,0
8.613,0
8.675,0
8.723,0
8.787,0
8.834,0
8.866,0
8.93,0
8.978,0
9.01,0
9.058,0
9.09,0
9.121,0
9.169,0
9.216,0
9.248,0
9.28,0
9.311,0
9.359,0
9.391,0
9.439,0
9.486,0
9.518,0
9.55,0
9.598,0
9.646,0
9.677,0
9.724,0
9.772,0
9.804,0
9.851,0
9.899,0
9.963,0
10.011,0
10.058,0
10.121,0
10.167,0
10.215,0
10.263,0
10.31,0
10.358,0
10.406,0
10.47,0
10.533,0
10.597,0
10.661,0
10.725,0
10.789,0
10.852,0
10.914,0
10.978,0
11.042,0
11.088,0
11.12,0
11.168,0
11.216,0
11.248,0
11.279,0
11.326,0
11.358,0
11.39,0
11.422,0
11.47,0
11.518,0
11.549,0
11.597,0
11.628,0
11.66,0
11.692,0
11.74,0
11.788,0
11.82,0
11.852,0
11.899,0
11.947,0
11.979,0
12.026,0
12.073,0
12.104,0
12.135,0
12.166,0
12.214,0
12.262,0
12.326,0
12.374,0
12.42,0
12.452,0
12.499,0
12.563,0
12.627,0
12.691,0
12.739,0
12.802,0
12.864,0
12.912,0
12.976,0
13.04,0
13.072,0
13.133,0
13.181,0
13.197,0
13.245,0
13.277,0
13.325,0
13.373,0
13.421,0
13.468,0
13.5,0
13.531,0
13.579,0
13.627,0
13.659,0
13.691,0
13.722,0
13.754,0
13.801,0
13.849,0
13.896,0
13.943,0
13.975,0
14.023,0
14.071,0
14.103,0
14.134,0
14.182,0
14.214,0
14.246,0
14.293,0
14.341,0
14.405,0
14.468,0
14.516,0
14.58,0
14.643,0
14.706,0
14.754,0
14.817,0
14.881,0
14.928,0
14.991,0
15.039,0
15.102,0
15.166,0
15.214,0
15.278,0
15.342,0
15.389,0
15.452,0
15.5,0
15.547,0
15.595,0
15.627,0
15.659,0
15.707,0
15.754,0
15.786,0
15.834,0
15.882,0
15.928,0
15.976,0
16.007,0
16.055,0
16.087,0
16.119,0
16.166,0
16.198,0
16.23,0
16.262,0
16.309,0
16.357,0
16.404,0
16.436,0
16.483,0
16.515,0
16.578,0
16.641,0
16.705,0
16.769,0
16.833,0
16.896,0
16.958,0
17.021,0
17.085,0
17.133,0
17.196,0
17.258,0
17.29,0
17.338,0
17.37,0
17.418,0
17.45,0
17.482,0
17.529,0
17.576,0
17.621,0
17.668,0
17.716,0
17.762,0
17.826,0
17.889,0
17.953,0
18.016,0
18.08,0
18.128,0
18.192,0
18.254,0
18.302,0
18.365,0
18.428,0
18.476,0
18.539,0
18.587,0
18.65,0
18.698,0
18.744,0
18.79,0
18.838,0
18.886,0
18.934,0
18.966,0
19.013,0
19.045,0
19.093,0
19.123,0
19.171,0
19.202,0
19.25,0
19.298,0
19.33,0
19.393,0
19.456,0
19.517,0
19.565,0
19.628,0
19.676,0
19.722,0
19.786,0
19.833,0
19.88,0
19.912,0
19.96,0
20.007,0
20.055,0
20.103,0
20.135,0
20.183,0
20.23,0
20.261,0
20.308,0
20.356,0
20.404,0
20.436,0
20.468,0
20.515,0
20.563,0
20.61,0
20.642,0
20.688,0
20.736,0
20.784,0
20.846,0
20.91,0
20.957,0
21.02,0
21.084,0
21.147,0
21.195,0
21.243,0
21.307,0
21.371,0
21.417,0
21.465,0
21.529,0
21.577,0
21.625,0
21.689,0
21.736,0
21.783,0
21.815,0
21.861,0
21.909,0
21.941,0
21.989,0
22.037,0
22.085,0
22.117,0
22.163,0
22.211,0
22.242,0
22.29,0
22.322,0
22.354,0
22.402,0
22.45,0
22.497,0
22.544,0
22.592,0
22.624,0
22.672,0
22.704,0
22.752,0
22.784,0
22.831,0
22.876,0
22.924,0
22.988,0
23.051,0
23.098,0
23.162,0
23.223,0
23.27,0
23.318,0
23.35,0
23.382,0
23.429,0
23.461,0
23.508,0
23.54,0
23.588,0
23.619,0
23.667,0
23.713,0
23.76,0
23.808,0
23.856,0
23.904,0
23.952,0
23.997,0
24.061,0
24.124,0
24.156,0
24.22,0
24.268,0
24.315,0
24.363,0
24.426,0
24.457,0
24.52,0
24.568,0
24.631,0
24.695,0
24.758,0
24.822,0
24.886,0
24.933,0
24.981,0
25.013,0
25.061,0
25.093,0
25.139,0
25.171,0
25.202,0
25.234,0
25.281,0
25.297,0
25.344,0
25.376,0
25.424,0
25.472,0
25.503,0
25.551,0
25.599,0
25.647,0
25.679,0
25.727,0
25.775,0
25.823,0
25.855,0
25.885,0
25.933,0
25.981,0
26.028,0
26.06,0
26.092,0
26.124,0
26.172,0
26.235,0
26.282,0
26.33,0
26.377,0
26.409,0
26.457,0
26.521,0
26.585,0
26.632,0
26.679,0
26.742,0
26.805,0
26.853,0
26.916,0
26.948,0
26.995,0
27.042,0
27.089,0
27.121,0
27.153,0
27.169,0
27.201,0
27.249,0
27.281,0
27.313,0
27.36,0
27.391,0
27.438,0
27.47,0
27.518,0
27.565,0
27.613,0
27.661,0
27.709,0
27.757,0
27.804,0
27.836,0
27.884,0
27.932,0
27.978,0
28.041,0
28.105,0
28.153,0
28.185,0
28.233,0
28.297,0
28.359,0
28.407,0
28.471,0
28.533,0
28.596,0
28.659,0
28.706,0
28.754,0
28.802,0
28.85,0
28.898,0
28.946,0
28.994,0
29.042,0
29.089,0
29.121,0
29.169,0
29.201,0
29.217,0
29.265,0
29.297,0
29.313,0
29.36,0
29.392,0
29.44,0
29.472,0
29.52,0
29.552,0
29.598,0
29.645,0
29.677,0
29.725,0
29.757,0
29.789,0
29.821,0
29.869,0
29.916,0
29.964,0
29.996,0
30.027,0
30.059,0
30.091,0
30.139,0
30.186,0
30.234,0
30.282,0
30.313,0
30.361,0
30.408,0
30.44,483
30.502,6779
30.565,15277
30.613,18888
30.661,19766
30.708,19743
30.77,19240
30.832,18202
30.879,17009
30.926,16132
30.974,14221
31.021,9467
31.069,6162
31.1,3953
31.131,2960
31.163,2243
31.211,1659
31.242,1069
31.29,782
31.337,485
31.384,305
31.416,172
31.463,107
31.511,22
31.575,0
31.623,0
31.687,0
31.749,0
31.796,0
31.86,0
31.923,0
31.987,0
32.05,0
32.113,0
32.161,0
32.225,0
32.289,0
32.353,0
32.4,0
32.432,0
32.462,0
32.494,0
32.542,0
32.589,0
32.637,0
32.685,0
32.732,0
32.779,0
32.81,0
32.856,0
32.904,0
32.936,0
32.968,0
33.016,0
33.064,0
33.096,0
33.128,0
33.16,0
33.192,0
33.223,0
33.271,0
33.318,0
33.35,0
33.398,0
33.461,0
33.509,0
33.572,0
33.636,0
33.683,0
33.747,0
33.794,0
33.858,0
33.921,0
33.984,0
34.032,0
34.096,0
34.143,0
34.175,0
34.239,0
34.271,0
34.317,0
34.349,0
34.381,0
34.413,0
34.445,0
34.461,0
34.493,0
34.525,0
34.557,0
34.605,0
34.637,0
34.684,0
34.732,0
34.78,0
34.812,0
34.844,0
34.891,0
34.939,0
34.971,0
35.019,0
35.051,0
35.098,0
35.145,0
35.161,0
35.193,0
35.209,0
35.225,0
35.241,0
35.289,0
35.321,0
35.337,0
35.369,0
35.385,0
35.417,0
35.448,0
35.48,0
35.512,0
35.56,0
35.592,0
35.624,0
35.656,0
35.688,0
35.72,0
35.736,0
35.768,0
35.799,0
35.83,0
35.862,0
35.893,0
35.941,0
35.973,0
36.005,0
36.037,0
36.085,0
36.117,0
36.165,0
36.196,0
36.228,0
36.244,0
36.276,0
36.308,0
36.34,0
36.372,0
36.404,0
36.436,0
36.467,0
36.531,0
36.579,0
36.626,0
36.674,0
36.721,0
36.769,0
36.833,0
36.88,0
36.927,0
36.99,0
37.054,0
37.118,0
37.181,0
37.244,0
37.292,0
37.356,0
37.403,0
37.435,0
37.467,0
37.499,0
37.547,0
37.578,0
37.61,0
37.642,0
37.674,0
37.722,0
37.769,0
37.817,0
37.849,0
37.881,0
37.928,0
37.976,0
38.023,0
38.055,0
38.103,0
38.134,0
38.15,0
38.182,0
38.214,0
38.262,0
38.31,0
38.326,0
38.358,0
38.39,0
38.406,0
38.422,0
38.454,0
38.486,0
38.517,0
38.549,0
38.597,0
38.645,0
38.677,0
38.725,0
38.756,0
38.804,0
38.852,0
38.899,0
38.947,0
38.978,0
39.01,0
39.042,0
39.09,0
39.106,0
